 Creature ,   Health ,   Stamina ,   Oxygen ,   Food ,   Weight ,  Base Damage ,   Movement Speed ,   Torpidity 
 Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +T , Level 1 , +W 
   Brute Araneo ,1850, 370 , ,250, 25 ,0 ,300, 30 ,0 ,900, 90 ,0 ,200, 4 ,0 ,20 , 1  ,0 ,100, ,600 , 36
   Brute Astrocetus ,10000, 90 , ,900, 45 ,0 ,, , ,7500, 750 ,0 ,2500, 50 ,0 ,88 , 3.52  ,0 ,100, ,1500 , 90
   Brute Basilosaurus ,2400, 480 , ,300, 30 ,0 ,150, 15 ,0 ,8000, 800 ,0 ,700, 14 ,0 ,47 , 2.35  ,0 ,100, ,2000 , 120
   Brute Bloodstalker ,2600, 780 , ,550, 55 ,0 ,300, 30 ,0 ,1800, 180 ,0 ,400, 8 ,0 ,72 , 3.6  ,0 ,100, ,360 , 21.6
   Brute Ferox ,3900, 1170 , ,900, 90 ,0 ,300, 30 ,0 ,1800, 180 ,0 ,700, 14 ,0 ,152 , 7.6  ,0 ,100, ,360 , 21.6
   Brute Fire Wyvern ,150000, 1500 , ,10000, 0 ,0 ,2000, 0 ,0 ,2600, 0 ,0 ,4000, 0 ,0 ,140 , 0  ,0 ,100, ,350 , 21
   Brute Leedsichthys ,8400, 1512 , ,750, 75 ,0 ,300, 30 ,0 ,10000, 1000 ,0 ,2400, 48 ,0 ,174 , 0  ,0 ,100, ,6750 , 405
   Brute Magmasaur ,2250, 675 , ,750, 37.5 ,0 ,400, 40 ,0 ,3000, 300 ,0 ,750, 15 ,0 ,59 , 1.77  ,0 ,100, ,1450 , 87
   Brute Malfunctioned Tek Giganotosaurus ,10000, 450 , ,400, 0.2 ,0 ,150, 0.375 ,0 ,4000, 10 ,0 ,700, 7 ,0 ,430 , 21.5  ,0 ,100, ,10000 , 600
   Brute Malfunctioned Tek Rex ,3950, 1185 , ,630, 63 ,0 ,300, 30 ,0 ,4000, 400 ,0 ,850, 17 ,0 ,135 , 6.75  ,0 ,100, ,3100 , 186
   Brute Mammoth ,3800, 1140 , ,495, 49.5 ,0 ,300, 30 ,0 ,7500, 750 ,0 ,1000, 20 ,0 ,104 , 5.2  ,0 ,100, ,1100 , 66
   Brute Megaloceros ,760, 228 , ,560, 56 ,0 ,300, 30 ,0 ,1800, 180 ,0 ,440, 8.8 ,0 ,55 , 2.75  ,0 ,100, ,350 , 21
   Brute Megaloceros ,2350, 705 , ,560, 56 ,0 ,300, 30 ,0 ,1800, 180 ,0 ,440, 8.8 ,0 ,55 , 2.75  ,0 ,100, ,350 , 21
   Brute Plesiosaur ,5100, 918 , ,1200, 120 ,0 ,300, 30 ,0 ,7500, 750 ,0 ,1200, 24 ,0 ,134 , 6.7  ,0 ,100, ,2400 , 144
   Brute Reaper King ,2500, 500 , ,480, 48 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,415, 8.3 ,0 ,52 , 2.6  ,0 ,100, ,925 , 55.5
   Brute Sarco ,2700, 810 , ,450, 45 ,0 ,150, 15 ,0 ,2250, 225 ,0 ,600, 12 ,0 ,98 , 4.9  ,0 ,100, ,800 , 48
   Brute Seeker ,680, 204 , ,250, 25 ,0 ,300, 30 ,0 ,1750, 175 ,0 ,280, 5.6 ,0 ,10 , 0.5  ,0 ,100, ,600 , 36
   Brute Tusoteuthis ,7400, 2220 , ,450, 45 ,0 ,330, 33 ,0 ,4200, 420 ,0 ,1200, 24 ,0 ,98 , 4.9  ,0 ,100, ,2700 , 162
   Brute X-Allosaurus ,1750, 525 , ,500, 50 ,0 ,300, 30 ,0 ,4000, 400 ,0 ,560, 11.2 ,0 ,59 , 2.95  ,0 ,100, ,2000 , 120
   Brute X-Megalodon ,2600, 780 , ,640, 64 ,0 ,300, 30 ,0 ,3000, 300 ,0 ,500, 10 ,0 ,110 , 5.5  ,0 ,100, ,1200 , 72
   Brute X-Mosasaurus ,5300, 954 , ,600, 60 ,0 ,300, 30 ,0 ,10000, 1000 ,0 ,1800, 36 ,0 ,146 , 7.3  ,0 ,100, ,6000 , 360
   Brute X-Raptor ,820, 246 , ,250, 25 ,0 ,300, 30 ,0 ,1750, 175 ,0 ,280, 5.6 ,0 ,110 , 5.5  ,0 ,100, ,600 , 36
   Brute X-Rex ,3950, 1185 , ,630, 63 ,0 ,300, 30 ,0 ,4000, 400 ,0 ,850, 17 ,0 ,135 , 6.75  ,0 ,100, ,3100 , 186
   Brute X-Rock Elemental ,2100, 36.75 , ,450, 45 ,0 ,300, 30 ,0 ,7500, 750 ,0 ,880, 17.6 ,0 ,136 , 6.8  ,0 ,100, ,6500 , 390
   Brute X-Spino ,3200, 960 , ,700, 70 ,0 ,1000, 100 ,0 ,3400, 340 ,0 ,700, 14 ,0 ,92 , 4.6  ,0 ,100, ,1250 , 75
   Brute X-Yutyrannus ,3300, 990 , ,840, 84 ,0 ,300, 30 ,0 ,3800, 380 ,0 ,750, 15 ,0 ,110 , 5.5  ,0 ,100, ,3100 , 186
   Bulbdog ,145, 29 , 5.4 ,200, 24 ,12 ,165, 18.15 ,11 ,450, 45 ,10 ,120, 2.4 ,4 ,12 , 0.6  ,1.7 ,100,1 ,60 , 3.6
   Bunny Dodo ,40, 8 , ,100, 10 ,0 ,150, 15 ,0 ,450, 45 ,0 ,50, 1 ,0 ,5 , 0.25  ,0 ,100, ,30 , 1.8
   Carbonemys ,700, 140 , 5.4 ,200, 20 ,10 ,150, 15 ,0 ,3000, 300 ,10 ,270, 5.4 ,4 ,13 , 0.65  ,1.7 ,100,1 ,275 , 16.5
   Carnotaurus (Corrupted) ,420, 84 , ,300, 30 ,0 ,150, 15 ,0 ,2000, 200 ,0 ,300, 6 ,0 ,35 , 1.75  ,0 ,100, ,350 , 21
   Carnotaurus ,420, 84 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,2000, 200 ,10 ,300, 6 ,4 ,35 , 1.75  ,1.7 ,100,1.25 ,350 , 21
   Carnotaurus (Aberrant) ,420, 84 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,2000, 200 ,10 ,300, 6 ,4 ,35 , 1.75  ,1.7 ,100,1.25 ,350 , 21
   Castoroides ,450, 90 , 5.4 ,180, 18 ,10 ,750, 75 ,10 ,2000, 200 ,10 ,300, 6 ,4 ,28 , 1.12  ,1.7 ,100,1 ,350 , 21
   Chalicotherium (Corrupted) ,600, 120 , ,300, 30 ,0 ,150, 15 ,0 ,4000, 400 ,0 ,400, 8 ,0 ,36 , 1.8  ,0 ,100, ,500 , 30
   Chalicotherium ,600, 120 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,4000, 400 ,10 ,400, 8 ,4 ,36 / 32, 1.8 / 1.6 ,1.7 ,100,1 ,500 , 30
   Cnidaria ,180, 36 , ,120, 12 ,0 ,, , ,1200, 120 ,0 ,25, 0.5 ,0 ,30 , 1.5  ,0 ,100, ,250 , 15
   Coelacanth ,30, 6 , ,100, 10 ,0 ,, , ,100, 10 ,0 ,8, 0.16 ,0 ,5 , 0.25  ,0 ,100, ,15 , 0.9
   Compy ,50, 10 , 6.4 ,100, 10 ,10 ,150, 15 ,10 ,450, 45 ,10 ,25, 0.5 ,4 ,4 , 0.2  ,1.7 ,100,1 ,25 , 1.5
   Corrupted Avatar ,, , ,?, , ,, , ,?, , ,?, , ,? , ,0 ,, , , 
   Corrupted Master Controller (Gamma) ,25000, 5000 , ,100, 10 ,0 ,150, 15 ,0 ,100, 10 ,0 ,100, 2 ,0 ,? , ,0 ,100, ,100 , 6
   Corrupted Master Controller (Beta) ,60000, 12000 , ,100, 10 ,0 ,150, 15 ,0 ,100, 10 ,0 ,100, 2 ,0 ,? , ,0 ,100, ,100 , 6
   Corrupted Master Controller (Alpha) ,150000, 30000 , ,100, 10 ,0 ,150, 15 ,0 ,100, 10 ,0 ,100, 2 ,0 ,? , ,0 ,100, ,100 , 6
   Crystal Wyvern ,1725, 258.75 , 4.05 ,275, 13.75 ,5 ,150, 15 ,10 ,2000, 200 ,10 ,400, 8 ,4 ,80 , 4  ,1.7 ,100, ,725 , 43.5
   Cubozoa Multis ,180, 36 , ,120, 12 , ,150, 15 , ,1200, 120 , ,25, 0.5 , ,? , ,0 ,100, ,250 , 15
   Daeodon ,900, 180 , 5.4 ,250, 25 ,10 ,150, 15 ,10 ,2500, 250 ,10 ,400, 8 ,4 ,29 , 1.45  ,1.7 ,100,1 ,800 , 48
   Deathworm (Minion) ,1725, 3.45 , ,100, 10 ,0 ,, , ,100, 10 ,0 ,100, 2 ,0 ,225 , 11.25  ,0 ,100, ,100 , 6
   Deathworm ,20000, 40 , ,100, 10 ,0 ,, , ,100, 10 ,0 ,100, 2 ,0 ,225 , 11.25  ,0 ,100, ,100 , 6
   Defense Unit (Gamma) ,924.0001, 184.80002 , ,2000, 200 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,1500, 30 ,0 ,35 , 1.75  ,0 ,100, ,420 , 25.2
   Defense Unit (Beta) ,1848.0001, 369.60002 , ,2000, 200 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,1500, 30 ,0 ,35 , 1.75  ,0 ,100, ,420 , 25.2
   Defense Unit (Alpha) ,2772, 554.4 , ,2000, 200 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,1500, 30 ,0 ,35 , 1.75  ,0 ,100, ,420 , 25.2
   Deinonychus ,200, 40 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,140, 2.8 ,4 ,30 / 30, 1.5 / 1.5 ,1.7 ,100,1.5 ,180 , 10.8
   Desert Titan ,4000, 800 , 5.4 ,10000, 1000 ,10 ,150, 15 ,10 ,100, 10 ,10 ,100, 2 ,4 ,15 , 0.75  ,1.7 ,100,1 ,100 , 6
   Desert Titan ,250000, 0 , ,5000, 0 ,0 ,150, 0 ,0 ,864, 0 ,0 ,9000, 0 ,0 ,0 , 0  ,0 ,100, ,30094 , 1805.64
   Dilophosaur (Corrupted) ,130, 26 , ,100, 10 ,0 ,150, 15 ,0 ,450, 45 ,0 ,45, 0.9 ,0 ,10 , 0.5  ,0 ,100, ,75 , 4.5
   Dilophosaur ,130, 26 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,450, 45 ,10 ,45, 0.9 ,4 ,10 / 3, 0.5 / 0.15 ,1.7 ,100,1 ,75 , 4.5
   Dimetrodon ,350, 70 , 5.4 ,300, 30 ,10 ,500, 50 ,0 ,1500, 150 ,10 ,250, 5 ,4 ,20 , 0.4  ,0.68 ,100,1 ,750 , 45
   Dimorphodon ,125, 25 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,900, 90 ,10 ,50, 1 ,4 ,23 , 1.15  ,1.7 ,100,1 ,100 , 6
   Diplocaulus ,190, 38 , 5.4 ,165, 16.5 ,10 ,1050, 105 ,10 ,1500, 150 ,10 ,150, 3 ,4 ,10 , 0.5  ,1.7 ,100,1 ,220 , 13.2
   Diplodocus ,1700, 340 , 5.4 ,550, 55 ,10 ,300, 30 ,10 ,10000, 1000 ,10 ,800, 16 ,4 ,0 , 0  ,0 ,100,1 ,3000 , 180
   Dire Bear ,400, 80 , 5.4 ,500, 50 ,10 ,270, 27 ,10 ,3000, 300 ,10 ,650, 13 ,4 ,50 / 65, 2.5 / 3.25 ,1.7 ,100,1 ,1000 , 60
   Dire Bear ,800, 160 , ,500, 50 ,0 ,270, 27 ,0 ,3000, 300 ,0 ,650, 13 ,0 ,50 / 65, 2.5 / 3.25 ,0 ,100, ,1000 , 60
   Direwolf ,330, 66 , 5.4 ,260, 26 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,170, 3.4 ,4 ,33 , 1.65  ,1.7 ,100,1 ,450 , 27
   Dodo ,40, 8 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,450, 45 ,10 ,50, 1 ,4 ,5 , 0.25  ,1.7 ,100,1 ,30 , 1.8
   Dodo Wyvern ,666666, 133333.2 , ,400, 40 ,0 ,2000, 200 ,0 ,2600, 260 ,0 ,3000, 60 ,0 ,600 , 30  ,0 ,100, ,350 , 21
   Dodobitus ,85000, 0 , ,650, 0 , ,2000, 0 , ,2600, 0 , ,2000, 40 , ,? , ,0 ,100, ,350 , 21
   DodoRex ,666666, 133333.2 , 5.4 ,1666, 166.6 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,500, 10 ,4 ,666 , 33.3  ,1.7 ,100,1 ,1550 , 93
   Doedicurus ,850, 170 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,250, 5 ,4 ,32 / 16, 1.6 / 0.8 ,1.7 ,100,2 ,800 , 48
   Doedicurus Vastus ,60000, 12000 , ,300, 30 , ,150, 15 , ,3000, 300 , ,250, 5 , ,? , ,0 ,100, ,800 , 48
   Dragon (Gamma) ,432000, 86400 , ,10000, 1000 ,0 ,, , ,2600, 260 ,0 ,4000, 80 ,0 ,0 , 0  ,0 ,100, ,350 , 21
   Dragon (Beta) ,864000, 172800 , ,10000, 1000 ,0 ,, , ,2600, 260 ,0 ,4000, 80 ,0 ,0 , 0  ,0 ,100, ,350 , 21
   Dragon (Alpha) ,972000, 243000 , ,10000, 1000 ,0 ,, , ,2600, 260 ,0 ,4000, 80 ,0 ,0 , 0  ,0 ,100, ,350 , 21
   Dung Beetle ,200, 40 , 2.7 ,100, 10 ,10 ,150, 15 ,10 ,900, 90 ,10 ,5, 0.1 ,8 ,5 , 0.25  ,1.7 ,100,1 ,200 , 12
   Dunkleosteus ,710, 142 , 5.4 ,200, 20 ,10 ,150, 15 ,0 ,2000, 200 ,10 ,910, 18.2 ,4 ,60 , 3  ,1.7 ,100,1 ,1150 , 69
   Electrophorus ,180, 36 , 5.4 ,165, 16.5 ,10 ,1050, 105 ,10 ,1500, 150 ,10 ,150, 3 ,4 ,3 / 15, 0.15 / 0.75 ,1.7 ,100,1 ,175 , 10.5
   Enforcer ,375, 75 , 5.4 ,450, 45 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,800, 16 ,4 ,34 , 1.7  ,1.7 ,100,1 ,5000 , 300
   Enraged Corrupted Rex ,8500, 1700 , ,420, 42 ,0 ,, , ,3000, 300 ,0 ,500, 10 ,0 ,200 , 10  ,0 ,100, ,1550 , 93
   Enraged Triceratops ,2500, 500 , ,150, 15 , ,150, 15 , ,3000, 300 , ,365, 7.3 , ,0 , 0  ,0 ,, ,250 , 15
   Equus ,240, 48 , 5.4 ,560, 56 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,350, 7 ,4 ,9 / 11, 0.45 / 0.55 ,1.7 ,100,1.75 ,420 , 25.2
   Eurypterid ,160, 32 , ,100, 10 ,0 ,, , ,450, 45 ,0 ,150, 3 ,0 ,7 , 0.35  ,0 ,100, ,50 , 3
   Featherlight ,115, 23 , 5.4 ,100, 10 ,10 ,180, 19.8 ,11 ,450, 45 ,10 ,70, 1.4 ,4 ,3 , 0.195  ,2.04 ,100,1 ,60 , 3.6
   Ferox ,55, 11 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,450, 45 ,10 ,55, 1.1 ,4 ,5 , 0.25  ,1.7 ,100,1 ,30 , 1.8
   Ferox ,1100, 220 , 5.4 ,1000, 100 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,350, 7 ,4 ,46 , 2.3  ,1.7 ,100,0.1 ,180 , 10.8
   Forest Titan ,400000, 0 , ,6000, 0 ,0 ,150, 0 ,0 ,864, 0 ,0 ,50000, 0 ,0 ,0 , 0  ,0 ,100, ,1818800 , 109128
   Gacha ,750, 150 , 5.4 ,325, 32.5 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,550, 22 ,4 ,32 , 1.6  ,1.7 ,100,1 ,600 , 36
   GachaClaus ,750, 150 , ,325, 32.5 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,550, 22 ,0 ,32 , 1.6  ,0 ,100, ,600 , 36
   Gallimimus ,150, 30 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,1000, 100 ,10 ,270, 5.4 ,4 ,8 , 0.4  ,3.4 ,100,1 ,420 , 25.2
   Gasbags ,650, 130 , 5.4 ,600, 60 ,10 ,1000, 90 ,9 ,3500, 350 ,10 ,3000, 60 ,1.25 ,5 , 0.25  ,1.7 ,100,1.5 ,450 , 27
   Giant Bee ,80, 16 , 5.4 ,200, 20 ,10 ,150, 15 ,10 ,450, 45 ,10 ,150, 3 ,4 ,8 , 0.4  ,1.7 ,100,1 ,400 , 24
   Giganotosaurus (Corrupted) ,35000, 17.5 , ,400, 0.2 ,0 ,150, 0.375 ,0 ,4000, 10 ,0 ,700, 7 ,0 ,500 , 25  ,0 ,100, ,10000 , 600
   Giganotosaurus ,80000, 40 , 0.04 ,400, 0.2 ,1 ,150, 0.375 ,2.5 ,4000, 10 ,2.5 ,700, 7 ,1 ,300 , 15  ,0.85 ,100,0.31 ,10000 , 600
   Gigantopithecus ,640, 64 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,220, 4.4 ,4 ,40 / 60, 1.6 / 2.4 ,1.7 ,100,1 ,1100 , 66
   Glowbug ,75, 15 , ,100, 10 ,0 ,150, 15 ,0 ,450, 45 ,0 ,50, 1 ,0 ,18 , 0.9  ,0 ,100, ,100 , 6
   Glowtail ,115, 23 , 5.4 ,100, 10 ,12.5 ,200, 24 ,11.5 ,450, 45 ,10 ,70, 1.4 ,4 ,12 , 0.66  ,1.87 ,100,1 ,60 , 3.6
   Golden Striped Brute Megalodon ,, , ,?, , ,, , ,?, , ,?, , ,? , ,0 ,, , , 
   Golden Striped Megalodon ,, , ,?, , ,, , ,?, , ,?, , ,? , ,0 ,, , , 
   Griffin ,950, 142.5 , 4.32 ,225, 11.25 ,6 ,150, 15 ,10 ,1600, 160 ,10 ,280, 5.6 ,4 ,27 / 12, 1.35 / 0.6 ,1.7 ,100, ,1500 , 90
   Gula Beetle ,50000, 0 , ,100, 0 , ,150, 0 , ,900, 0 , ,5, 0 , ,? , ,0 ,100, ,200 , 12
   Hesperornis ,95, 19 , 5.4 ,200, 20 ,10 ,, , ,900, 90 ,10 ,70, 1.4 ,4 ,1 / 25, 0.05 / 1.25 ,1.7 ,100,1 ,300 , 18
   Hyaenodon ,175, 35 , 5.4 ,260, 26 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,170, 3.4 ,4 ,15 , 0.75  ,1.7 ,100,2.5 ,450 , 27
   Ice Titan ,350000, 0 , ,10000, 0 ,0 ,150, 0 ,0 ,864, 0 ,0 ,50000, 0 ,0 ,2500 , 0  ,0 ,100, ,1218800 , 73128
   Iceworm Male ,1700, 3.4 , ,100, 10 ,0 ,, , ,100, 10 ,0 ,100, 2 ,0 ,225 , 11.25  ,0 ,100, ,100 , 6
   Iceworm Queen ,27000, 54 , ,100, 10 ,0 ,, , ,100, 10 ,0 ,100, 2 ,0 ,500 , 25  ,0 ,100, ,100 , 6
